"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VSS","Power","",""
"7","VDD","Power","",""
"8","VBAT","Power","",""
"9","PI8","I/O","",""
"10","PC13","I/O","",""
"11","PC14-OSC32_IN (OSC32_IN)","I/O","",""
"12","PC15-OSC32_OUT (OSC32_OUT)","I/O","",""
"13","PI9","I/O","",""
"14","PI10","I/O","",""
"15","PI11","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","VSSSMPS","Power","",""
"19","VLXSMPS","Power","",""
"20","VDDSMPS","Power","",""
"21","VFBSMPS","Power","",""
"22","PF0","I/O","",""
"23","PF1","I/O","",""
"24","PF2","I/O","",""
"25","PF3","I/O","",""
"26","PF4","I/O","",""
"27","PF5","I/O","",""
"28","VSS","Power","",""
"29","VDD","Power","",""
"30","PF6","I/O","",""
"31","PF7","I/O","",""
"32","PF8","I/O","",""
"33","PF9","I/O","",""
"34","PF10","I/O","",""
"35","PH0-OSC_IN (PH0)","I/O","",""
"36","PH1-OSC_OUT (PH1)","I/O","",""
"37","NRST","Reset","",""
"38","PC0","I/O","",""
"39","PC1","I/O","",""
"40","PC2_C","I/O","",""
"41","PC3_C","I/O","",""
"42","VSSA","Power","",""
"43","VREF+","MonoIO","",""
"44","VDDA","Power","",""
"45","PA0","I/O","",""
"46","PA1","I/O","",""
"47","PA2","I/O","",""
"48","PH2","I/O","",""
"49","VDD","Power","",""
"50","VSS","Power","",""
"51","PH3","I/O","",""
"52","PH4","I/O","",""
"53","PH5","I/O","",""
"54","PA3","I/O","",""
"55","VSS","Power","",""
"56","VDD","Power","",""
"57","PA4","I/O","",""
"58","PA5","I/O","",""
"59","PA6","I/O","",""
"60","PA7","I/O","",""
"61","PC4","I/O","",""
"62","PC5","I/O","",""
"63","PB0","I/O","",""
"64","PB1","I/O","",""
"65","PB2","I/O","",""
"66","PI15","I/O","",""
"67","PF11","I/O","",""
"68","PF12","I/O","",""
"69","PF13","I/O","",""
"70","PF14","I/O","",""
"71","PF15","I/O","",""
"72","PG0","I/O","",""
"73","VSS","Power","",""
"74","VDD","Power","",""
"75","PG1","I/O","",""
"76","PE7","I/O","",""
"77","PE8","I/O","",""
"78","PE9","I/O","",""
"79","VSS","Power","",""
"80","VDD","Power","",""
"81","PE10","I/O","",""
"82","PE11","I/O","",""
"83","PE12","I/O","",""
"84","PE13","I/O","",""
"85","PE14","I/O","",""
"86","PE15","I/O","",""
"87","PB10","I/O","",""
"88","PB11","I/O","",""
"89","VCAP","Power","",""
"90","VSS","Power","",""
"91","VDDLDO","Power","",""
"92","PH6","I/O","",""
"93","PH7","I/O","",""
"94","PH8","I/O","",""
"95","PH9","I/O","",""
"96","PH10","I/O","",""
"97","PH11","I/O","",""
"98","PH12","I/O","",""
"99","VSS","Power","",""
"100","VDD","Power","",""
"101","PB12","I/O","",""
