"Position","Name","Type","Signal","Label"
"1","PC11","I/O","",""
"2","PC12","I/O","",""
"3","PC13","I/O","",""
"4","PC14-OSC32_IN (PC14)","I/O","",""
"5","PC15-OSC32_OUT (PC15)","I/O","",""
"6","VBAT","Power","",""
"7","VREF+","MonoIO","",""
"8","VDD","Power","",""
"9","VSS","Power","",""
"10","PF0-OSC_IN (PF0)","I/O","",""
"11","PF1-OSC_OUT (PF1)","I/O","",""
"12","PF2 - NRST","I/O","",""
"13","PC0","I/O","",""
"14","PC1","I/O","",""
"15","PC2","I/O","",""
"16","PC3","I/O","",""
"17","PA0","I/O","",""
"18","PA1","I/O","",""
"19","PA2","I/O","",""
"20","PA3","I/O","",""
"21","PA4","I/O","",""
"22","PA5","I/O","",""
"23","PA6","I/O","",""
"24","PA7","I/O","",""
"25","PC4","I/O","",""
"26","PC5","I/O","",""
"27","PB0","I/O","",""
"28","PB1","I/O","",""
"29","PB2","I/O","",""
"30","PB10","I/O","",""
"31","PB11","I/O","",""
"32","PB12","I/O","",""
"33","PB13","I/O","",""
"34","PB14","I/O","",""
"35","PB15","I/O","",""
"36","PA8","I/O","",""
"37","PA9","I/O","",""
"38","PC6","I/O","",""
"39","PC7","I/O","",""
"40","PD8","I/O","",""
"41","PD9","I/O","",""
"42","PA10","I/O","",""
"43","PA11 [PA9]","I/O","",""
"44","PA12 [PA10]","I/O","",""
"45","PA13","I/O","",""
"46","PA14-BOOT0","I/O","",""
"47","PA15","I/O","",""
"48","PC8","I/O","",""
"49","PC9","I/O","",""
"50","PD0","I/O","",""
"51","PD1","I/O","",""
"52","PD2","I/O","",""
"53","PD3","I/O","",""
"54","PD4","I/O","",""
"55","PD5","I/O","",""
"56","PD6","I/O","",""
"57","PB3","I/O","",""
"58","PB4","I/O","",""
"59","PB5","I/O","",""
"60","PB6","I/O","",""
"61","PB7","I/O","",""
"62","PB8","I/O","",""
"63","PB9","I/O","",""
"64","PC10","I/O","",""
