"Position","Name","Type","Signal","Label"
"1","PC14-OSC32_IN","I/O","",""
"2","PC15-OSC32_OUT","I/O","",""
"3","NRST","Reset","",""
"4","VDDA","Power","",""
"5","PA0-CK_IN","I/O","",""
"6","PA1","I/O","",""
"7","PA4","I/O","",""
"8","PA5","I/O","",""
"9","PA6","I/O","",""
"10","PA7","I/O","",""
"11","PB1","I/O","",""
"12","VSS","Power","",""
"13","VDD","Power","",""
"14","PA9","I/O","",""
"15","PA10","I/O","",""
"16","PA13","I/O","",""
"17","PA14","I/O","",""
"18","PB6","I/O","",""
"19","PB7","I/O","",""
"20","PB9-BOOT0","I/O","",""
