"Position","Name","Type","Signal","Label"
"1","PC14-OSC32_IN","I/O","",""
"2","PC15-OSC32_OUT","I/O","",""
"3","NRST","Reset","",""
"4","VSSA","Power","",""
"5","VDDA","Power","",""
"6","PA0","I/O","",""
"7","PA1","I/O","",""
"8","PA2","I/O","",""
"9","PA3","I/O","",""
"10","PA4","I/O","",""
"11","PA5","I/O","",""
"12","PA6","I/O","",""
"13","PA7","I/O","",""
"14","PB0","I/O","",""
"15","PB1","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PA8","I/O","",""
"19","PA9","I/O","",""
"20","PA10","I/O","",""
"21","PA11","I/O","",""
"22","PA12","I/O","",""
"23","PA13","I/O","",""
"24","VDD_USB","Power","",""
"25","PA14","I/O","",""
"26","PB4","I/O","",""
"27","PB5","I/O","",""
"28","PB6","I/O","",""
"29","PB7","I/O","",""
"30","BOOT0","Boot","",""
"31","VSS","Power","",""
"32","VDD","Power","",""
