"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PE2","I/O","",""
"A3","VDDLDO","Power","",""
"A4","VCAP","Power","",""
"A5","PB5","I/O","",""
"A6","PB3 (JTDO/TRACESWO)","I/O","",""
"A7","VSS","Power","",""
"A8","PD7","I/O","",""
"A9","VDD","Power","",""
"A10","PD3","I/O","",""
"A11","PA14 (JTCK/SWCLK)","I/O","",""
"A12","VSS","Power","",""
"A13","PA10","I/O","",""
"B1","VBAT","Power","",""
"B2","VDD","Power","",""
"B3","PDR_ON","Reset","",""
"B4","VSS","Power","",""
"B5","BOOT0","Boot","",""
"B6","PB4 (NJTRST)","I/O","",""
"B7","VDD","Power","",""
"B8","PD6","I/O","",""
"B9","VSS","Power","",""
"B10","PA15 (JTDI)","I/O","",""
"B11","PA13 (JTMS/SWDIO)","I/O","",""
"B12","VDD","Power","",""
"B13","VDDLDO","Power","",""
"C1","PC14-OSC32_IN (OSC32_IN)","I/O","",""
"C2","PE6","I/O","",""
"C3","PE3","I/O","",""
"C4","PE1","I/O","",""
"C5","PB7","I/O","",""
"C6","PG15","I/O","",""
"C7","PG9","I/O","",""
"C8","PD5","I/O","",""
"C9","PD1","I/O","",""
"C10","PD0","I/O","",""
"C11","PC10","I/O","",""
"C12","VSS","Power","",""
"C13","VCAP","Power","",""
"D1","VSS","Power","",""
"D2","PC15-OSC32_OUT (OSC32_OUT)","I/O","",""
"D3","PE4","I/O","",""
"D4","PE0","I/O","",""
"D5","PB8","I/O","",""
"D6","PB9","I/O","",""
"D7","PG10","I/O","",""
"D8","PD4","I/O","",""
"D9","PC12","I/O","",""
"D10","PA8","I/O","",""
"D11","PA9","I/O","",""
"D12","PA11","I/O","",""
"D13","PA12","I/O","",""
"E1","VLXSMPS","Power","",""
"E2","VDD","Power","",""
"E3","PC13","I/O","",""
"E4","PE5","I/O","",""
"E5","PB6","I/O","",""
"E6","PG14","I/O","",""
"E7","PG11","I/O","",""
"E8","PD2","I/O","",""
"E9","PC11","I/O","",""
"E10","PC7","I/O","",""
"E11","PC9","I/O","",""
"E12","VDD","Power","",""
"E13","VSS","Power","",""
"F1","VDDSMPS","Power","",""
"F2","VSSSMPS","Power","",""
"F3","VFBSMPS","Power","",""
"F4","PF0","I/O","",""
"F5","PF1","I/O","",""
"F6","PF2","I/O","",""
"F7","PG13","I/O","",""
"F8","PG7","I/O","",""
"F9","PG8","I/O","",""
"F10","PC8","I/O","",""
"F11","PC6","I/O","",""
"F12","VDD50_USB","Power","",""
"F13","VDD33_USB","Power","",""
"G1","PF4","I/O","",""
"G2","PF3","I/O","",""
"G3","PF5","I/O","",""
"G4","PF6","I/O","",""
"G5","PF7","I/O","",""
"G6","PF8","I/O","",""
"G7","PG12","I/O","",""
"G8","PG3","I/O","",""
"G9","PG5","I/O","",""
"G10","PG4","I/O","",""
"G11","PG6","I/O","",""
"G12","VSSDSI","Power","",""
"G13","VSSDSI","Power","",""
"H1","VDD","Power","",""
"H2","VSS","Power","",""
"H3","PF9","I/O","",""
"H4","PF10","I/O","",""
"H5","NRST","Reset","",""
"H6","PB1","I/O","",""
"H7","PG2","I/O","",""
"H8","PE13","I/O","",""
"H9","PD14","I/O","",""
"H10","PD15","I/O","",""
"H11","VSS","Power","",""
"H12","DSI_D1P","MonoIO","",""
"H13","DSI_D1N","MonoIO","",""
"J1","PH1-OSC_OUT (PH1)","I/O","",""
"J2","PH0-OSC_IN (PH0)","I/O","",""
"J3","PC1","I/O","",""
"J4","PC0","I/O","",""
"J5","PA5","I/O","",""
"J6","PF12","I/O","",""
"J7","PG1","I/O","",""
"J8","PE12","I/O","",""
"J9","PD13","I/O","",""
"J10","PD12","I/O","",""
"J11","VSS","Power","",""
"J12","DSI_CKP","MonoIO","",""
"J13","DSI_CKN","MonoIO","",""
"K1","PC2_C","I/O","",""
"K2","PC3_C","I/O","",""
"K3","PA0","I/O","",""
"K4","PA7","I/O","",""
"K5","PC5","I/O","",""
"K6","PF11","I/O","",""
"K7","PE7","I/O","",""
"K8","PE15","I/O","",""
"K9","PB10","I/O","",""
"K10","PD11","I/O","",""
"K11","VSS","Power","",""
"K12","DSI_D0P","MonoIO","",""
"K13","DSI_D0N","MonoIO","",""
"L1","VREF-","Power","",""
"L2","VDDA","Power","",""
"L3","PA1","I/O","",""
"L4","PC4","I/O","",""
"L5","PB2","I/O","",""
"L6","PG0","I/O","",""
"L7","PE10","I/O","",""
"L8","PE8","I/O","",""
"L9","VDD","Power","",""
"L10","PB12","I/O","",""
"L11","VDD","Power","",""
"L12","VCAPDSI","Power","",""
"L13","VSS","Power","",""
"M1","VREF+","MonoIO","",""
"M2","VDD","Power","",""
"M3","PA2","I/O","",""
"M4","PA6","I/O","",""
"M5","PF13","I/O","",""
"M6","VSS","Power","",""
"M7","PF15","I/O","",""
"M8","PE14","I/O","",""
"M9","VSS","Power","",""
"M10","PB13","I/O","",""
"M11","PB15","I/O","",""
"M12","PD9","I/O","",""
"M13","VDDDSI","Power","",""
"N1","VSS","Power","",""
"N2","PA3","I/O","",""
"N3","PA4","I/O","",""
"N4","PB0","I/O","",""
"N5","PF14","I/O","",""
"N6","PE9","I/O","",""
"N7","PE11","I/O","",""
"N8","PB11","I/O","",""
"N9","VCAP","Power","",""
"N10","VDDLDO","Power","",""
"N11","PB14","I/O","",""
"N12","PD8","I/O","",""
"N13","PD10","I/O","",""
