"Position","Name","Type","Signal","Label"
"1","PB8","I/O","",""
"2","PF0-OSC_IN","I/O","",""
"3","PF1-OSC_OUT","I/O","",""
"4","NRST","Reset","",""
"5","VDDA","Power","",""
"6","PA0","I/O","",""
"7","PA1","I/O","",""
"8","PA2","I/O","",""
"9","PA3","I/O","",""
"10","PA4","I/O","",""
"11","PA5","I/O","",""
"12","PA6","I/O","",""
"13","PA7","I/O","",""
"14","PB1","I/O","",""
"15","VSSA","Power","",""
"16","VDD","Power","",""
"17","PA9","I/O","",""
"18","PA10","I/O","",""
"19","PA13","I/O","",""
"20","PA14","I/O","",""
