"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PH5","I/O","",""
"A3","PE13","I/O","",""
"A4","PE11","I/O","",""
"A5","PF1","I/O","",""
"A7","PD5","I/O","",""
"A8","PA9","I/O","",""
"A10","PG6","I/O","",""
"A11","PB3","I/O","",""
"A13","PA8","I/O","",""
"A14","PF2","I/O","",""
"A16","DNU","MonoIO","",""
"A17","DNU","MonoIO","",""
"A19","JTDO-TRACESWO","MonoIO","",""
"A20","JTDI","MonoIO","",""
"A21","DDR_DQ20","MonoIO","",""
"A22","DDR_DQ23","MonoIO","",""
"A23","VSS","Power","",""
"B1","PH15","I/O","",""
"B2","PH12","I/O","",""
"B3","PH4","I/O","",""
"B4","PE12","I/O","",""
"B5","PD10","I/O","",""
"B6","PD4","I/O","",""
"B7","PG15","I/O","",""
"B8","PD0","I/O","",""
"B9","PD1","I/O","",""
"B10","PB9","I/O","",""
"B11","PC7","I/O","",""
"B12","PB15","I/O","",""
"B13","PB4","I/O","",""
"B14","PC6","I/O","",""
"B15","DNU","MonoIO","",""
"B16","DNU","MonoIO","",""
"B17","DNU","MonoIO","",""
"B18","VDD_Unused","Power","",""
"B19","NJTRST","MonoIO","",""
"B20","JTCK-SWCLK","MonoIO","",""
"B21","DDR_DQ19","MonoIO","",""
"B22","DDR_DQ16","MonoIO","",""
"B23","DDR_DQS2N","MonoIO","",""
"C1","PI0","I/O","",""
"C2","PH10","I/O","",""
"C3","PH14","I/O","",""
"C4","PH11","I/O","",""
"C5","PH9","I/O","",""
"C6","PE14","I/O","",""
"C7","VSS","Power","",""
"C8","PE1","I/O","",""
"C9","PE3","I/O","",""
"C10","PE6","I/O","",""
"C11","PE5","I/O","",""
"C12","VSS","Power","",""
"C13","PB14","I/O","",""
"C14","VDDA1V8_Unused","Power","",""
"C15","DNU","MonoIO","",""
"C16","VSS","Power","",""
"C17","VDD1V2_Unused","Power","",""
"C18","VDD1V2_Unused","Power","",""
"C19","PA15","I/O","",""
"C20","JTMS-SWDIO","MonoIO","",""
"C21","VSS","Power","",""
"C22","DDR_DQS2P","MonoIO","",""
"C23","DDR_DQM2","MonoIO","",""
"D1","PH13","I/O","",""
"D2","PD6","I/O","",""
"D3","PE15","I/O","",""
"D4","VSS","Power","",""
"D5","PH8","I/O","",""
"D6","PE0","I/O","",""
"D7","PF5","I/O","",""
"D8","PF0","I/O","",""
"D9","PF4","I/O","",""
"D10","PD7","I/O","",""
"D11","PB7","I/O","",""
"D12","PD2","I/O","",""
"D13","PC12","I/O","",""
"D14","PD3","I/O","",""
"D15","PC10","I/O","",""
"D16","PC11","I/O","",""
"D17","PC9","I/O","",""
"D18","PC8","I/O","",""
"D19","PE4","I/O","",""
"D20","DDR_RESETN","MonoIO","",""
"D21","DDR_DQ22","MonoIO","",""
"D22","DDR_DQ17","MonoIO","",""
"D23","DDR_DQ18","MonoIO","",""
"E1","PI3","I/O","",""
"E2","PI2","I/O","",""
"E3","PI1","I/O","",""
"E4","PI4","I/O","",""
"E20","DDR_A7","MonoIO","",""
"E21","DDR_DQ3","MonoIO","",""
"E22","DDR_DQ0","MonoIO","",""
"E23","DDR_DQ21","MonoIO","",""
"F2","PI7","I/O","",""
"F3","PI5","I/O","",""
"F4","PI6","I/O","",""
"F20","DDR_A13","MonoIO","",""
"F21","VSS","Power","",""
"F22","DDR_DQ1","MonoIO","",""
"G1","PZ1","I/O","",""
"G2","PZ4","I/O","",""
"G3","PZ0","I/O","",""
"G4","PZ3","I/O","",""
"G20","DDR_A9","MonoIO","",""
"G21","DDR_DQ7","MonoIO","",""
"G22","DDR_DQS0P","MonoIO","",""
"G23","DDR_DQS0N","MonoIO","",""
"H1","PZ6","I/O","",""
"H2","PZ5","I/O","",""
"H3","VSS","Power","",""
"H4","PI9","I/O","",""
"H20","DDR_A5","MonoIO","",""
"H21","DDR_DQ2","MonoIO","",""
"H22","DDR_DQ6","MonoIO","",""
"H23","DDR_DQM0","MonoIO","",""
"J2","PD15","I/O","",""
"J3","PZ7","I/O","",""
"J4","PZ2","I/O","",""
"J20","DDR_A2","MonoIO","",""
"J21","DDR_DQ4","MonoIO","",""
"J22","DDR_DQ5","MonoIO","",""
"K1","PD9","I/O","",""
"K2","PC13","I/O","",""
"K3","PD8","I/O","",""
"K4","PG12","I/O","",""
"K20","DDR_DTO0","MonoIO","",""
"K21","VSS","Power","",""
"K22","DDR_A3","MonoIO","",""
"K23","DDR_ZQ","MonoIO","",""
"L1","PC15-OSC32_OUT","I/O","",""
"L2","PC14-OSC32_IN","I/O","",""
"L3","PD14","I/O","",""
"L4","PI8","I/O","",""
"L20","DDR_A0","MonoIO","",""
"L21","DDR_DTO1","MonoIO","",""
"L22","DDR_ODT","MonoIO","",""
"L23","DDR_BA0","MonoIO","",""
"M2","BOOT2","Boot","",""
"M3","NRST","Reset","",""
"M4","NRST_CORE","Reset","",""
"M20","DDR_WEN","MonoIO","",""
"M21","DDR_BA2","MonoIO","",""
"M22","DDR_CSN","MonoIO","",""
"N1","BOOT0","Boot","",""
"N2","PA13","I/O","",""
"N3","PWR_LP","Power","",""
"N4","BOOT1","Boot","",""
"N20","DDR_CASN","MonoIO","",""
"N21","DDR_RASN","MonoIO","",""
"N22","DDR_CLKP","MonoIO","",""
"N23","DDR_CLKN","MonoIO","",""
"P1","PH0-OSC_IN","I/O","",""
"P2","PH1-OSC_OUT","I/O","",""
"P3","VSS","Power","",""
"P4","PI11","I/O","",""
"P20","DDR_A15","MonoIO","",""
"P21","VSS","Power","",""
"P22","DDR_A1","MonoIO","",""
"P23","DDR_A12","MonoIO","",""
"R2","PWR_ON","Power","",""
"R3","PDR_ON","MonoIO","",""
"R4","VREF+","Power","",""
"R20","DDR_A11","MonoIO","",""
"R21","DDR_A14","MonoIO","",""
"R22","DDR_A10","MonoIO","",""
"T1","PI10","I/O","",""
"T2","PA14","I/O","",""
"T3","PDR_ON_CORE","MonoIO","",""
"T4","PG3","I/O","",""
"T20","DDR_CKE","MonoIO","",""
"T21","DDR_DQ8","MonoIO","",""
"T22","DDR_DQ10","MonoIO","",""
"T23","DDR_DQ13","MonoIO","",""
"U1","PF3","I/O","",""
"U2","PA3","I/O","",""
"U3","ANA0","MonoIO","",""
"U4","ANA1","MonoIO","",""
"U20","DDR_BA1","MonoIO","",""
"U21","DDR_DQ9","MonoIO","",""
"U22","DDR_DQS1P","MonoIO","",""
"U23","DDR_DQS1N","MonoIO","",""
"V2","PG2","I/O","",""
"V3","PA5","I/O","",""
"V4","PA4","I/O","",""
"V20","DDR_A4","MonoIO","",""
"V21","VSS","Power","",""
"V22","DDR_DQM1","MonoIO","",""
"W1","PG1","I/O","",""
"W2","PC3","I/O","",""
"W3","VSS","Power","",""
"W4","PH7","I/O","",""
"W20","DDR_A6","MonoIO","",""
"W21","DDR_DQ11","MonoIO","",""
"W22","DDR_DQ14","MonoIO","",""
"W23","DDR_DQ12","MonoIO","",""
"Y1","PE2","I/O","",""
"Y2","PC2","I/O","",""
"Y3","PB10","I/O","",""
"Y4","PF15","I/O","",""
"Y5","PF13","I/O","",""
"Y6","PG5","I/O","",""
"Y7","PG11","I/O","",""
"Y8","PB5","I/O","",""
"Y9","PF12","I/O","",""
"Y10","PF11","I/O","",""
"Y11","PH6","I/O","",""
"Y12","PF10","I/O","",""
"Y13","PG9","I/O","",""
"Y14","PB6","I/O","",""
"Y15","PE10","I/O","",""
"Y16","PB2","I/O","",""
"Y17","PA10","I/O","",""
"Y18","PD12","I/O","",""
"Y19","DDR_ATO","MonoIO","",""
"Y20","DDR_A8","MonoIO","",""
"Y21","DDR_DQ15","MonoIO","",""
"Y22","DDR_DQ25","MonoIO","",""
"Y23","DDR_DQ24","MonoIO","",""
"AA1","PG14","I/O","",""
"AA2","PG13","I/O","",""
"AA3","PH3","I/O","",""
"AA4","PA1","I/O","",""
"AA5","VSS","Power","",""
"AA6","PC1","I/O","",""
"AA7","PB1","I/O","",""
"AA8","VSS","Power","",""
"AA9","PE9","I/O","",""
"AA10","PB13","I/O","",""
"AA11","PE7","I/O","",""
"AA12","VSS","Power","",""
"AA13","PF6","I/O","",""
"AA14","PF9","I/O","",""
"AA15","VDD3V3_USBHS","Power","",""
"AA16","VSS_USBHS","Power","",""
"AA17","VDD3V3_USBFS","Power","",""
"AA18","PA11","I/O","",""
"AA19","PD13","I/O","",""
"AA20","DDR_DQM3","MonoIO","",""
"AA21","VSS","Power","",""
"AA22","DDR_DQ31","MonoIO","",""
"AA23","DDR_DQ30","MonoIO","",""
"AB1","PB11","I/O","",""
